DATAFLOW,AREA_REF,FREQ,INDICADOR,SEXO,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIDAD,MULT
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,_T,2018,5.339136742836416,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,M,2018,11.653047167789312,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,F,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,_T,2018,7.06668298733928,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,M,2018,7.8504606198295885,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,F,2018,1.1625057035436084,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,_T,2018,5.306441467186845,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,M,2018,17.758703614636186,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,F,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,_T,2018,9.474818695396438,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,M,2018,28.76206283911528,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,F,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,_T,2018,16.861214639749633,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,M,2018,2.3876207016390234,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,F,2018,0.3319807882717827,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,_T,2018,1.537562268697841,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,M,2018,11.057156283689782,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,F,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,_T,2018,6.6609826281573055,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,M,2018,4.5253988007693176,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,F,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,_T,2018,2.5056429166518805,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,M,2018,5.387036097631061,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,F,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,_T,2018,3.1711719330142816,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,M,2018,NA,1,RT,0
